Dre,Curso,Nome,Gênero,Data de Nascimento,Altura,Peso,CRA,Créditos Obtidos,Renda
118188499,Engenharia Naval,Gabriel,masculino,25/11/1998,1.8,85,4.0,28,1000.0
118188499,engenharia naval,Gabriel,masculino,25/11/1998,1.8,80,6.1,28,2500.0
1141447748,engenharia eletrônica,Arthur,masculino,12/12/1997,1.7,70,6.0,25,1900.0
5048375401033740,engenharia naval,Valene,feminino,06/06/2001,2.01,103,1.51,23,16193.59
5048379366852110,engenharia mecânica,Nicoli,feminino,17/08/1998,1.98,58,0.66,2,37569.55
5048370921851390,engenharia mecânica,Dianemarie,feminino,09/01/1996,2.1,85,5.35,28,33779.27
5048376368318892,engenharia civil,Valentijn,feminino,02/06/2002,1.81,48,3.89,14,2070.46
5108759949114657,engenharia naval,Peirce,feminino,16/08/1997,1.94,119,7.04,9,25764.32
5048372609749409,engenharia mecânica,Malachi,masculino,12/04/1999,1.7,110,4.94,31,22012.96
5108755427143333,engenharia de produção,Tammie,feminino,15/08/2001,1.58,117,3.77,28,37752.29
5048376281992138,engenharia de produção,Marcela,masculino,06/04/2002,2.07,89,9.55,25,11119.68
5108750109036194,engenharia naval,Eran,masculino,03/12/2002,1.71,95,8.25,20,4185.86
5048377654442727,engenharia naval,Clarisse,masculino,17/08/2001,1.7,104,0.39,21,4636.88
5048376453470046,engenharia de produção,Rowland,feminino,12/07/1995,2.06,74,8.64,24,22685.3
5108758199091714,engenharia de produção,Noach,feminino,24/05/1995,1.69,79,3.64,1,44780.34
5108751664085584,engenharia de produção,Cecelia,masculino,20/07/2000,1.58,68,2.87,6,1233.04
5048373072542354,engenharia mecânica,Lucita,feminino,22/07/1997,1.7,71,4.03,12,42103.21
5108754315908014,engenharia civil,Stanton,masculino,03/08/1999,2.08,69,8.05,9,16293.66
5108759921788486,engenharia de produção,Norris,feminino,20/12/1996,1.68,69,8.29,28,25420.83
5108750479050874,engenharia de produção,Ossie,feminino,24/11/1995,1.57,69,4.21,31,17959.4
5108751293821797,engenharia mecânica,Derry,feminino,06/03/1997,2.09,116,7.91,7,37458.92
5108757827780789,engenharia mecânica,Sascha,masculino,15/03/2002,1.69,120,0.14,2,34191.44
5048373195386333,engenharia naval,Natalya,feminino,17/10/2000,1.57,45,3.58,13,34348.9
5108758418692151,engenharia de produção,Darcie,feminino,03/08/1999,1.57,117,6.38,3,27038.89
5108756055815838,engenharia de produção,Jerald,masculino,20/04/2001,2.06,64,7.67,32,1958.39
5048370764072294,engenharia civil,Cyril,masculino,14/12/2002,1.9,105,9.96,3,24567.72
5108752339324747,engenharia naval,Bette-ann,masculino,30/05/2001,1.73,102,0.02,21,10521.76
5048373858970282,engenharia de petróleo,Jemimah,feminino,19/08/2002,1.62,63,7.21,10,33565.67
5048370538344623,engenharia de petróleo,Holmes,masculino,22/01/1995,1.77,58,8.25,23,27620.22
5048370011278421,engenharia naval,Rickey,masculino,15/08/1996,2.07,113,5.01,5,42427.14
5108756197898957,engenharia de petróleo,York,feminino,03/02/1997,1.86,47,6.89,21,11427.19
5108755885041755,engenharia mecânica,Dane,feminino,09/11/2000,1.52,68,6.57,2,27482.8
5048377039357426,engenharia civil,Joann,masculino,01/01/2001,1.85,53,3.94,26,29433.71
5108753265682314,engenharia civil,Caspar,feminino,23/08/1996,2.0,52,1.65,15,8748.34
5048370021531488,engenharia de petróleo,Bengt,feminino,13/01/1996,1.79,69,5.16,12,28984.82
5108754710350507,engenharia mecânica,Hillie,feminino,22/07/1995,1.96,66,7.61,21,30441.29
5048372841439884,engenharia naval,Kristina,masculino,29/11/2001,1.75,102,1.03,21,31493.51
5108752019136296,engenharia naval,Cherin,masculino,22/12/2001,1.88,51,5.6,23,3342.79
5108752376952798,engenharia mecânica,Arden,feminino,17/04/2001,1.81,59,0.62,11,20630.74
